"Gene","Correlation_with_PCoA2"
"group_2463.SAR.endolysin",0.96851292638857
"group_2316.DUF826.domain.containing.protein",0.96851292638857
"group_1755.Antitermination.protein",0.96851292638857
"group_1741.Integrase",0.96851292638857
"group_1663.K....transporting.ATPase.subunit.F",0.96851292638857
"group_1660.DUF977.domain.containing.protein",0.96851292638857
"group_1256.DUF1391.domain.containing.protein",0.96851292638857
"group_1231.hypothetical.protein",0.96851292638857
"group_1223.Tail.component",0.96851292638857
"group_1181.Cell.division.inhibition.protein",0.96851292638857
"group_1180.DUF1482.domain.containing.protein",0.96851292638857
"group_1158.Lipoprotein",0.96851292638857
"group_1121.Type.I.toxin.antitoxin.system.Hok.family.toxin",0.96851292638857
"group_1120.Phage.protein",0.96851292638857
"group_991.Rha.family.transcriptional.regulator",0.96851292638857
"group_934.IS1.transposase",0.96851292638857
"group_912.Ybl81",0.96851292638857
"group_911.hypothetical.protein",0.96851292638857
"group_819.Bacteriophage.protein",0.96851292638857
"group_805.DUF551.domain.containing.protein",0.96851292638857
"group_789.DUF551.domain.containing.protein",0.96851292638857
"group_784.Crossover.junction.endodeoxyribonuclease.rusA",0.96851292638857
"dicA.Transcriptional.repressor.DicA",0.96851292638857
"group_715.Bacterial.toxin.YdaT.domain.containing.protein",0.96851292638857
"ospG.Protein.kinase.OspG",0.96851292638857
"group_379.ATP.binding.protein",0.96851292638857
"group_356.DUF1627.domain.containing.protein",0.96851292638857
"group_254.DNA.binding.protein",0.96851292638857
"group_208.DUF968.domain.containing.protein",0.96851292638857
"group_200.Methyltransferase",0.96851292638857
"group_32.exonuclease",0.96851292638857
"group_1900.Antirepressor.protein.ant.N.terminal.domain.containing.protein",0.96851292638857
"group_493.Partial.O.replication.protein.for.prophage.CP.933H",-0.892208829472247
"group_1648.Ail.Lom.family.protein",-0.892208829472247
"group_1926.Prophage.protein",-0.892208829472247
"group_1923.ClpP.like.prohead.protease.major.capsid.protein.fusion.protein",-0.892208829472247
"group_2379.Protease.FtsH.inhibitory.lysogeny.factor.CIII.Protease.inhibitor.III",0.892208829472247
"group_2352.DUF1317.domain.containing.protein",0.892208829472247
"kil.Host.cell.division.inhibitory.peptide.Kil.Protein.kil",0.892208829472247
"group_2181.Restriction.alleviation.protein.Lar.family",0.892208829472247
"group_2179.Exonuclease",0.892208829472247
"group_1803.DUF1382.domain.containing.protein",0.892208829472247
"group_1802.Host.nuclease.inhibitor.Gam.family.protein",0.892208829472247
"group_1790.Terminase.small.subunit..Partial.",0.892208829472247
"group_1788.Large.subunit.terminase",0.892208829472247
"group_1786.WH2.domain.containing.protein",0.892208829472247
"group_1784.Phage.protein",0.892208829472247
"group_1782.N4.gp56.family.major.capsid.protein",0.892208829472247
"group_1780.Capsid.and.scaffold.protein",0.892208829472247
"group_1778.Phage.protein",0.892208829472247
"group_1776.Phage.protein",0.892208829472247
"group_1774.Phage.protein",0.892208829472247
"group_1772.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein",0.892208829472247
"group_1767.hypothetical.protein",0.892208829472247
"group_1553.Prophage.protein",0.892208829472247
"group_1536.phage.recombination.protein.Bet",0.892208829472247
"group_1530.Cell.division.protein.ZapA",0.892208829472247
"group_1526.Phage.protein",0.892208829472247
"group_1523.Conjugal.transfer.protein.TraR",0.892208829472247
"group_648.Prophage.protein",0.892208829472247
"group_72.IgGFc.binding.protein.N.terminal.domain.containing.protein",0.892208829472247
"group_2351.Spanin.inner.membrane.subunit",0.892208829472247
"group_2278.Prophage.protein",0.892208829472247
"group_2208.helix.turn.helix.domain.containing.protein.Replication.protein",0.892208829472247
"group_2156.Transcriptional.regulator",0.892208829472247
"group_1801.hypothetical.protein",0.892208829472247
"group_1800.DUF3024.domain.containing.protein",0.892208829472247
"group_1799.DNA.binding.protein",0.892208829472247
"group_1798.Regulatory.protein",0.892208829472247
"group_1797.hypothetical.protein",0.892208829472247
"group_1796.Prophage.protein",0.892208829472247
"group_1795.NinA",0.892208829472247
"group_1794.Antitermination.protein.Q",0.892208829472247
"stxB2.Shiga.toxin.Stx2a.subunit.B",0.892208829472247
"group_1769.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein",0.892208829472247
"group_1762.N.acetyltransferase",0.892208829472247
"group_1761.DNA.transfer.protein",0.892208829472247
"group_1760.Unassigned.protein",0.892208829472247
"group_1759.Bacteriocin",0.892208829472247
"group_1757.Unassigned.protein",0.892208829472247
"ninH.Protein.ninH",0.892208829472247
"group_1539.Protein.ea10",0.892208829472247
"group_1332.NAD.P.H.quinone.oxidoreductase",0.892208829472247
"group_1306.Gp60",0.892208829472247
"group_1216.Hok.Gef.family.protein",0.892208829472247
"group_1098.Ead.Ea22.like.family.protein",0.892208829472247
"group_1087.C4.type.zinc.finger.protein",0.892208829472247
"group_1016.Eaa.protein",0.892208829472247
"group_976.Outer.membrane.protein",0.892208829472247
"group_952.Excisionase",0.892208829472247
"group_951.ASCH.domain.containing.protein",0.892208829472247
"group_950.DUF4752.domain.containing.protein",0.892208829472247
"group_923.ClpX.type.ZB.domain.containing.protein",0.892208829472247
"group_772.Antitermination.protein",0.892208829472247
"group_757.Bacteriophage.protein",0.892208829472247
"group_664.Crossover.junction.endodeoxyribonuclease.RuvC",0.892208829472247
"group_476.Antirepressor",0.892208829472247
"group_447.DUF551.domain.containing.protein",0.892208829472247
"group_407.Repressor.protein.of.bacteriophage.origin",0.892208829472247
"group_312.DUF551.domain.containing.protein",0.892208829472247
"group_210.Serine.threonine.kinase",0.892208829472247
"group_121.Integrase",0.892208829472247
"group_17.Putative.replication.protein.P",0.892208829472247
"group_0.Large.polyvalent.protein.associated.domain.containing.protein",0.892208829472247
"group_2309.ead.Ea22.like.family.protein.Ead.Ea22.like.family.protein",0.892208829472247
"group_1603.Phage.tail.assembly.protein",0.892208829472247
"group_2500.Rz.like.spanin",0.892208829472247
"group_1903.serum.resistance.lipoprotein.Bor",0.892208829472247
"group_1899.Phage.protein",0.892208829472247
"group_1765.DUF1983.domain.containing.protein",0.892208829472247
"group_1764.Small.toxic.polypeptide",0.892208829472247
"group_1568.Holin",0.892208829472247
"group_1314.Phage.protein",0.892208829472247
"rhmT.Inner.membrane.transport.protein.RhmT",0.874889973065012
"group_89.Putative.tail.length.tape.measure.protein.from.putative.prophage",0.874889973065012
"group_1461.IS66.like.element.accessory.protein.TnpA",0.850601766979573
"group_1450.IS66.family.insertion.sequence.element.accessory.protein.TnpB",0.850601766979573
"group_1437.IS66.family.ISEc8.transposase",0.850601766979573
"group_2436.Shiga.toxin.2c.A.unit.protein.Shiga.toxin.Stx2.subunit.A",0.847549225581641
"group_2439.Inner.membrane.protein",0.847173210674429
"group_2392.Phage.tail.protein",0.847173210674429
"group_2454.Spanin.inner.membrane.subunit.Lysis.protein",0.847173210674429
"group_2451.Bacteriophage.933W.L0121.tail.fibre.C.terminal.domain.containing.protein.Prophage.tail.fiber.C.terminus.family.protein.Phage.tail.protein",0.847173210674429
"group_2375.Terminase.small.subunit.DUF1441.domain.containing.protein",0.847173210674429
"group_1939.Z.protein",0.847173210674429
"group_1595.phage.tail.assembly.chaperone.G",0.847173210674429
"group_2321.Minor.tail.protein.M",0.847173210674429
"group_1599.Tape.measure.protein",0.847173210674429
"group_1597.phage.tail.assembly.protein.T",0.847173210674429
"group_1566.Holin",0.847173210674429
"group_1930.ClpP.like.prohead.protease.major.capsid.protein.fusion.protein",0.847173210674429
"group_1929.Terminase.large.subunit",0.847173210674429
"group_1928.Prophage.protein",0.847173210674429
"group_1925.ClpP.like.prohead.protease.major.capsid.protein.fusion.protein",0.847173210674429
"group_1586.DUF2190.domain.containing.protein",0.847173210674429
"group_1584.phage.portal.protein",0.847173210674429
"group_1581.Phage.protein",0.847173210674429
"group_1931.DUF1737.domain.containing.protein",0.847173210674429
"group_1593.Minor.tail.protein.U",0.847173210674429
"group_965.DNA.breaking.rejoining.protein",0.847173210674429
"group_1570.SAR.endolysin",0.847173210674429
"group_2342.phage.minor.tail.protein.L.Phage.minor.tail.protein",-0.836040046134791
"group_2366.DUF1378.domain.containing.protein",0.821761225371278
"group_381.Outer.membrane.protein.Lom",0.804801673862867
"group_1807.Enterobacterial.Ail.Lom.protein",0.78942011981004
"group_2141.ClpP.like.prohead.protease.major.capsid.protein.fusion.protein",0.779010843810967
"group_1116.Prophage.protein",0.779010843810967
"group_802.Phage.portal.protein",0.779010843810967
"group_461.hypothetical.protein",0.779010843810967
"group_204.phage.portal.protein",0.779010843810967
"group_2110.phage.tail.assembly.chaperone.G",0.779010843810967
"group_986.DNA.breaking.rejoining.protein",0.779010843810967
"group_889.phage.tail.assembly.protein.T",0.779010843810967
"group_879.DUF2190.domain.containing.protein",0.779010843810967
"group_750.Phage.tail.protein",0.779010843810967
"group_534.Phage.tail.protein",0.779010843810967
"group_373.Phage.tail.protein",0.779010843810967
"group_2452.phage.minor.tail.protein.L",0.779010843810967
"group_2332.Phage.tail.assembly.protein.C40.family.peptidase.Phage.tail.protein",0.779010843810967
"group_2402.Putative.tail.component",0.779010843810967
"group_2387.hypothetical.protein",-0.779010843810967
"group_2386.SF3.helicase.domain.containing.protein",-0.779010843810967
"group_2266.Prophage.protein",-0.779010843810967
"group_2165.Prophage.protein",-0.779010843810967
"group_1146.host.cell.division.inhibitor.Icd.like.protein",-0.779010843810967
"group_2299.Prophage.protein",-0.779010843810967
"copG.CopG.family.transcriptional.regulator",-0.779010843810967
"group_553.ISSfl4.ORF3",-0.779010843810967
"group_2468.Phage.tail.assembly.protein",-0.773679473644579
"group_2190.Ig.domain.containing.protein.Major.tail.protein.V.Phage.major.tail.protein",0.748259600409587
"group_2112.fimbria.pilus.outer.membrane.usher.protein.Usher.protein.hypothetical.protein",0.731857773582337
"group_2314.DUF1737.domain.containing.protein",0.731857773582337
"group_2281.Antirepressor.protein.ant.Uncharacterized.protein.ORF36",0.731857773582337
"group_2280.Protein.ninG",0.731857773582337
"group_2182.NinB.protein",0.731857773582337
"group_1791.DUF826.domain.containing.protein",0.731857773582337
"group_1556.phage.N.6.adenine.methyltransferase",0.731857773582337
"group_396.DNA.binding.protein.Roi",0.731857773582337
"group_2440.Ail.Lom.family.outer.membrane.beta.barrel.protein.Enterobacterial.Ail.Lom.protein",0.731857773582337
"group_2418.hypothetical.protein",0.731857773582337
"group_692.phage.minor.tail.protein.L",0.674907479553215
"group_2393.Prophage.protein.Bacteriophage.protein",-0.650467486130907
"group_2370.Antitermination.protein.NusG",-0.650467486130907
"group_2369.Phage.protein",-0.650467486130907
"group_2306.Tyr.recombinase.domain.containing.protein",-0.650467486130907
"group_2305.AlpA.family.phage.regulatory.protein",-0.650467486130907
"group_2297.hypothetical.protein",-0.650467486130907
"group_1943.Terminase.small.subunit",-0.650467486130907
"group_1942.Phage.major.capsid.protein",-0.650467486130907
"group_1263.hypothetical.protein",-0.650467486130907
"group_1487.IS3.family.IS1203.transposase.ORF.A",-0.609556863125032
"group_1471.IS3.family.IS1203.transposase.ORF.B",-0.609556863125032
"group_723.Type.IV.conjugative.transfer.system.protein.TraV",-0.513022159023801
"group_1470.IS3.family.IS1203.transposase.ORF.B",0.381442168092163
"group_1483.IS3.family.IS1203.transposase.ORF.A",0.362322556082668
"group_1833.Inner.membrane.protein",-0.305339899448948
"group_2683.IS66.family.insertion.sequence.element.accessory.protein.TnpB",0.302798288277895
"group_2682.IS66.family.ISEc8.transposase",0.302798288277895
"group_2681.Ail.Lom.family.outer.membrane.beta.barrel.protein",0.302798288277895
"group_2680.hypothetical.protein",0.302798288277895
"group_2679.IS66.like.element.accessory.protein.TnpA",0.302798288277895
"group_201.hypothetical.protein",0.282505404969281
"group_1832.Glycosyltransferase.family.1.protein",-0.280581025106547
"group_1830.Carbohydrate.transporter",-0.280581025106547
"group_2416.SF3.helicase.domain.containing.protein",-0.269786117939351
"group_2367.Prophage.protein",-0.269786117939351
"group_1938.Single.stranded.DNA.binding.protein",-0.269786117939351
"group_1927.Prophage.protein",-0.269786117939351
"group_1924.ClpP.like.prohead.protease.major.capsid.protein.fusion.protein",-0.269786117939351
"group_1921.hypothetical.protein",-0.269786117939351
"group_2230.Host.cell.division.inhibitor.Icd.like.protein.host.cell.division.inhibitor.Icd.like.protein",0.269786117939351
"group_1948.hypothetical.protein",0.269786117939351
"group_1947.DUF4222.domain.containing.protein",0.269786117939351
"group_1946.primase.like.DNA.binding.domain.containing.protein",0.269786117939351
"group_913.YlcI.YnfO.family.protein",0.269786117939351
"group_1936.hypothetical.protein",0.269786117939351
"group_1934.Phage.protein",0.269786117939351
"cma.lipid.II.degrading.bacteriocin.lipid.II.degrading.bacteriocin.colicin.M",0.269786117939351
"group_2083.conjugal.transfer.complement.resistance.protein.TraT",0.269786117939351
"group_1964.Transposase",0.269786117939351
"group_1963.Transposase",0.269786117939351
"group_1962.IS91.family.ISEc84.transposase",0.269786117939351
"group_1961.IS91.family.ISEc84.transposase",0.269786117939351
"group_1919.DNA.primase",0.269786117939351
"group_1917.Bacteriophage.protein",0.269786117939351
"group_1311.Transposase",0.269786117939351
"group_1123.Protein.FlmC.like.protein",0.269786117939351
"group_1092.conjugal.transfer.protein.TraR",0.269786117939351
"group_1068.UPF0401.protein.YubL",0.269786117939351
"trbG.conjugal.transfer.protein.TrbG",0.269786117939351
"group_1033.class.I.SAM.dependent.methyltransferase",0.269786117939351
"trbE.Conjugal.transfer.protein.TrbE",0.269786117939351
"ydfA.YdfA.protein",0.269786117939351
"repA2.Replication.regulatory.protein.repA2",0.269786117939351
"yacA.YacA",0.269786117939351
"relE.Addiction.module.toxin.RelE",0.269786117939351
"group_956.type.F.conjugative.transfer.system.pilin.chaperone.TraQ",0.269786117939351
"yubO.Uncharacterized.protein.YubO",0.269786117939351
"trbJ.P.type.conjugative.transfer.protein.TrbJ",0.269786117939351
"group_915.Class.I.SAM.dependent.methyltransferase",0.269786117939351
"group_905.Conjugative.transfer.protein",0.269786117939351
"group_904.DUF2689.domain.containing.protein",0.269786117939351
"traL.type.IV.conjugative.transfer.system.protein.TraL",0.269786117939351
"group_845.conjugal.transfer.protein.TrbA",0.269786117939351
"stbB.Protein.StbB",0.269786117939351
"cmi.colicin.M.immunity.protein",0.269786117939351
"traA.type.IV.conjugative.transfer.system.pilin.TraA",0.269786117939351
"traM.conjugal.transfer.relaxosome.DNA.binding.protein.TraM",0.269786117939351
"group_769.hypothetical.protein",0.269786117939351
"trbI.type.F.conjugative.transfer.system.protein.TrbI",0.269786117939351
"traY.conjugal.transfer.relaxosome.DNA.bindin.protein.TraY",0.269786117939351
"group_698.conjugation.system.SOS.inhibitor.PsiB",0.269786117939351
"traS.conjugal.transfer.entry.exclusion.protein.TraS",0.269786117939351
"yubQ.X.polypeptide",0.269786117939351
"group_608.ParB.Sulfiredoxin.domain.containing.protein",0.269786117939351
"group_606.type.IV.conjugative.transfer.system.lipoprotein.TraV",0.269786117939351
"cbi.colicin.B.immunity.protein",0.269786117939351
"group_583.Single.stranded.DNA.binding.protein",0.269786117939351
"group_577.type.F.conjugative.transfer.system.pilin.assembly.thiol.disulfide.isomerase.TrbB",0.269786117939351
"group_554.type.IV.conjugative.transfer.system.protein.TraE",0.269786117939351
"group_543.conjugal.transfer.pilus.stabilizing.protein.TraP",0.269786117939351
"group_516.DUF2726.domain.containing.protein",0.269786117939351
"group_473.type.F.conjugative.transfer.system.protein.TraW",0.269786117939351
"group_470.type.F.conjugative.transfer.system.pilin.assembly.protein.TrbC",0.269786117939351
"group_425.conjugal.transfer.transcriptional.regulator.TraJ",0.269786117939351
"psiA.Protein.PsiA",0.269786117939351
"traK.type.F.conjugative.transfer.system.secretin.TraK",0.269786117939351
"group_376.type.F.conjugative.transfer.system.pilin.assembly.protein.TraF",0.269786117939351
"traX.conjugal.transfer.pilus.acetylase.TraX",0.269786117939351
"yubP.UPF0380.protein.YubP",0.269786117939351
"stbA.plasmid.segregation.protein.ParM",0.269786117939351
"group_230.conjugal.transfer.pilus.assembly.protein.TraU",0.269786117939351
"traH.conjugal.transfer.pilus.assembly.protein.TraH",0.269786117939351
"traB.F.type.conjugal.transfer.pilus.assembly.protein.TraB",0.269786117939351
"cba.pore.forming.bacteriocin.colicin.B",0.269786117939351
"traN.type.F.conjugative.transfer.system.mating.pair.stabilization.protein.TraN",0.269786117939351
"yubM.Uncharacterized.protein.YubM",0.269786117939351
"traD.type.IV.conjugative.transfer.system.coupling.protein.TraD",0.269786117939351
"traC.type.IV.secretion.system.protein.TraC",0.269786117939351
"traG.conjugal.transfer.mating.pair.stabilization.protein.TraG",0.269786117939351
"traI.conjugative.transfer.relaxase.helicase.TraI",0.269786117939351
"group_1649.Ail.Lom.family.protein",-0.248838395177539
"group_1739.Host.specificity.protein.J",-0.248838395177539
"group_2313.Antitermination.protein.Q",0.236914960281215
"group_1559.Protein.ninH",0.236914960281215
"group_2502.Phage.protein",0.236914960281215
"group_2501.Phage.protein",0.236914960281215
"group_2499.serum.resistance.lipoprotein.Bor",0.236914960281215
"group_2498.Spanin.inner.membrane.subunit",0.236914960281215
"group_2497.Inner.membrane.protein",0.236914960281215
"group_2496.Antirepressor.protein.ant.N.terminal.domain.containing.protein",0.236914960281215
"group_2495.SAR.endolysin",0.236914960281215
"group_2494.Holin",0.236914960281215
"group_2493.DUF1737.domain.containing.protein",0.236914960281215
"group_2492.Shiga.toxin.Stx2a.subunit.B",0.236914960281215
"group_2491.Unassigned.protein",0.236914960281215
"group_2490.Bacteriocin",0.236914960281215
"group_2489.Unassigned.protein",0.236914960281215
"group_2488.DNA.transfer.protein",0.236914960281215
"group_2487.N.acetyltransferase",0.236914960281215
"group_2486.Small.toxic.polypeptide",0.236914960281215
"group_2485.Terminase.small.subunit..Partial.",0.236914960281215
"group_2484.Large.subunit.terminase",0.236914960281215
"group_2483.WH2.domain.containing.protein",0.236914960281215
"group_2482.hypothetical.protein",0.236914960281215
"group_1078.hypothetical.protein",0.236914960281215
"group_1058.Tail.fiber.protein.of.bacteriophage.BP.933W",0.236914960281215
"group_919.Fimbrial.protein",0.236914960281215
"group_914.hypothetical.protein",0.236914960281215
"group_875.hypothetical.protein",0.236914960281215
"group_740.hypothetical.protein",0.236914960281215
"group_697.hypothetical.protein",0.236914960281215
"group_650.internal.virion.protein",0.236914960281215
"group_597.internal.virion.protein",0.236914960281215
"group_532.hypothetical.protein",0.236914960281215
"group_363.hypothetical.protein",0.236914960281215
"stxA2.Shiga.toxin.Stx2c.subunit.A",0.236914960281215
"group_179.N4.gp56.family.major.capsid.protein",0.236914960281215
"group_1.Large.polyvalent.protein.associated.domain.containing.protein",0.236914960281215
"group_2414.Prophage.protein.Bacteriophage.protein",-0.22227944767322
"group_2211.Carbohydrate.transporter",0.220947627570348
"group_1831.Glycosyltransferase.family.1.protein",0.220947627570348
"group_2481.incFII.family.plasmid.replication.initiator.RepA",0.218810148742296
"group_2480.Positive.regulator.of.RepFIC.repA1.expression",0.218810148742296
"group_2410.Fertility.inhibition.protein",0.218810148742296
"group_2359.Transposase",0.218810148742296
"group_1892.Gene.expression.modulator",0.218810148742296
"group_1890.Uncharacterized.endonuclease",0.218810148742296
"group_1859.AreA",0.218810148742296
"cptA.phosphoethanolamine.transferase.CptA.Inner.membrane.protein",0.210549087552093
"group_2194.Terminase.large.subunit..Gp2..Phage.terminase.large.subunit.family.protein",0.203211806018519
"group_1285.hypothetical.protein",0.20035170611941
"group_1673.SAR.endolysin",-0.193772161001773
"group_1626.Holin",-0.193772161001773
"group_1512.DUF1327.domain.containing.protein",-0.193772161001773
"group_1563.DUF1378.domain.containing.protein",0.183198808128538
"group_2380.hypothetical.protein.TraI.like.middle.domain.containing.protein",-0.18104374905711
"group_2358.Transporter.hypothetical.protein",-0.18104374905711
"group_2253.hypothetical.protein.YopT.type.cysteine.protease.domain.containing.protein.TcdA.TcdB.catalytic.glycosyltransferase.domain.containing.protein.toxin.B.Glycosyltransferase.sugar.binding.region.containing.DXD.motif.family.protein",-0.18104374905711
"group_2223.Transposase",-0.18104374905711
"group_2222.TolA.family.protein",-0.18104374905711
"group_1886.conjugal.transfer.pilus.acetylase.TraX",-0.18104374905711
"group_1885.AAA.family.ATPase",-0.18104374905711
"group_1878.Transposase",-0.18104374905711
"group_1863.Methyltransferase.small.domain.containing.protein",-0.18104374905711
"group_1883.Transposase",-0.18104374905711
"group_1881.Transposase",-0.18104374905711
"flmC.Protein.FlmC",-0.18104374905711
"group_1874.Protein.PsiA",-0.18104374905711
"group_1870.Uncharacterized.protein.YubM",-0.18104374905711
"group_1868.UPF0401.protein.YubL",-0.18104374905711
"group_1866.Single.stranded.DNA.binding.protein",-0.18104374905711
"group_1872.conjugation.system.SOS.inhibitor.PsiB",-0.18104374905711
"group_2471.DedA.family.protein.DUF6404.domain.containing.protein",0.178682219371306
"group_2461.YdeA.protein",0.178682219371306
"group_2292.Resolvase",0.178682219371306
"group_735.YedA.protein",0.178682219371306
"group_2666.Conjugal.transfer.outer.membrane.protein.TraH",-0.17838329531912
"group_2665.hypothetical.protein",-0.17838329531912
"group_2664.TraF.protein",-0.17838329531912
"group_2662.Lytic.transglycosylase.domain.containing.protein",-0.17838329531912
"group_2661.YgeA",-0.17838329531912
"group_2660.Conjugal.transfer.protein.TraK",-0.17838329531912
"group_2659.hypothetical.protein",-0.17838329531912
"group_2658.plasmid.replication.initiator.RepA",-0.17838329531912
"group_2655.Conjugal.transfer.protein",-0.17838329531912
"hicB...copG.Antitoxin.HicB.CopG.family.transcriptional.regulator",-0.17838329531912
"group_2653.Toxin.co.regulated.pilus.biosynthesis.protein.Q.C.terminal.domain.containing.protein",-0.17838329531912
"group_2651.Conjugal.transfer.prepropilin.TraC",-0.17838329531912
"virB11.P.type.DNA.transfer.ATPase.VirB11",-0.17838329531912
"pilV.shufflon.system.plasmid.conjugative.transfer.pilus.tip.adhesin.PilV.Bacterial.shufflon.protein.N.terminal.domain.containing.protein",-0.17838329531912
"group_2650.hypothetical.protein",-0.17838329531912
"group_2649.Membrane.protein",-0.17838329531912
"group_2648.Type.4.secretion.system.PilS.N.terminal.domain.containing.protein",-0.17838329531912
"group_2646.YahA",-0.17838329531912
"group_2644.Prophage.protein",-0.17838329531912
"yajA.YajA.protein",-0.17838329531912
"group_2643.YagA.protein",-0.17838329531912
"eexN.EexN.family.lipoprotein",-0.17838329531912
"group_2641.YddA.protein",-0.17838329531912
"group_2640.CPBP.family.intramembrane.metalloprotease",-0.17838329531912
"yhaA.YhaA.protein",-0.17838329531912
"group_2639.DUF1187.domain.containing.protein",-0.17838329531912
"yaiB.YaiB.protein",-0.17838329531912
"group_2638.Type.IV.pilus.biogenesis.protein.PilP",-0.17838329531912
"group_2636.ATPase.T2SS.T4P.T4SS.family",-0.17838329531912
"group_2635.Endonuclease",-0.17838329531912
"group_2632.Conjugal.transfer.protein",-0.17838329531912
"group_2631.PilR.protein",-0.17838329531912
"pilO.PilO",-0.17838329531912
"group_2628.PilM",-0.17838329531912
"group_2627.Shufflon.specific.DNA.recombinase",-0.17838329531912
"group_2623.PilN.family.type.IVB.pilus.formation.outer.membrane.protein",-0.17838329531912
"group_2622.Protein.QmcA",-0.17838329531912
"group_2621.Conjugal.transfer.protein.TraG",-0.17838329531912
"cbiX.Cobalamin.biosynthesis.protein.CbiX",-0.17838329531912
"group_2620.Conjugal.transfer.protein.TraI",-0.17838329531912
"yggB.YggB.protein",-0.17838329531912
"hopD.Leader.peptidase.HopD",-0.17838329531912
"group_2617.hypothetical.protein",-0.17838329531912
"group_2615.Hemolysin.expression.modulator.Hha",-0.17838329531912
"group_2614.hypothetical.protein",-0.17838329531912
"group_2613.DNA.topoisomerase",-0.17838329531912
"group_2612.YaiA.protein",-0.17838329531912
"group_2610.Conjugal.transfer.protein.TrbJ",-0.17838329531912
"yafA...yceB.Protein.YafA.YceB.protein",-0.17838329531912
"group_2609.Replication.initiation.leader.protein",-0.17838329531912
"group_2608.CaiF.GrlA.family.transcriptional.regulator",-0.17838329531912
"group_2607.CopG.family.transcriptional.regulator",-0.17838329531912
"group_2606.Conjugal.transfer.protein.TraD",-0.17838329531912
"group_2605.Conjugal.transfer.protein",-0.17838329531912
"group_2604.DUF1187.domain.containing.protein",-0.17838329531912
"yebA.YebA.protein",-0.17838329531912
"group_2602.Modulator.protein",-0.17838329531912
"group_2599.Inner.membrane.protein",-0.17838329531912
"group_2597.Nickel.transporter.permease.subunit.B",-0.17838329531912
"kikA.IncN.plasmid.KikA.protein",-0.17838329531912
"group_2596.ProQ.FinO.domain.containing.protein",-0.17838329531912
"group_2595.Peptidyl.arginine.deiminase",-0.17838329531912
"group_2663.YciA.protein",-0.17838329531912
"group_2654.Transposase",-0.17838329531912
"group_2652.Exodeoxyribonuclease.V.subunit.beta",-0.17838329531912
"ycgC.YcgC.protein",-0.17838329531912
"group_2642.Transcriptional.regulator",-0.17838329531912
"group_2637.Addiction.module.toxin.HicA.family",-0.17838329531912
"group_2633.Bacterial.mobilization.protein..MobC.",-0.17838329531912
"group_2630.hypothetical.protein.Prophage.protein",-0.17838329531912
"group_2619.Phage.protein",-0.17838329531912
"group_2618.Integral.membrane.protein",-0.17838329531912
"group_2601.Phage.tail.protein",-0.17838329531912
"group_2140.Derepression.protein",0.166994834074585
"group_2139.Major.tail.tube.protein.FII.phage.major.tail.tube.protein",0.166994834074585
"group_2138.Tail.fiber.component.of.prophage.CP.933T",0.166994834074585
"group_2128.Tail.fiber.protein.of.prophage.CP.933T.Phage.tail.tape.measure.protein.domain.containing.protein",0.166994834074585
"tnp...insI1.IS30.family.transposase.IS30.family.IS30.transposase",0.166994834074585
"group_1297.Prophage.membrane.protein",0.166994834074585
"group_1141.DNA.binding.protein",0.166994834074585
"group_1140.hypothetical.protein",0.166994834074585
